axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:ugrd_m
34.0,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.891528129577637
34.0,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.561528205871582
34.0,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.271528244018555
34.0,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,10.10152816772461
34.0,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,8.081527709960938
34.0,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.091528415679932
34.0,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.1615283489227295
34.0,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.241528272628784
34.0,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.491528272628784
34.0,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.38152813911438
34.0,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.0215282440185547
34.0,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.431528329849243
34.0,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.301528215408325
34.0,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.561528205871582
34.0,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.811528205871582
34.0,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.181528091430664
33.75,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.921528339385986
33.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.151528358459473
33.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.741528034210205
33.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.781527996063232
33.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,8.35152816772461
